,name,state_name,early_career_pay,make_world_better_percent,stem_percent,year,total_price,net_cost,tuition_higher_than_national_average,type,degree_length,room_and_board,in_state_tuition,in_state_total,out_of_state_tuition,out_of_state_total,Total Minority,total_enrollment
605,Western Oregon University,Oregon,44500.0,50.0,5.0,2017,23109.0,16722.566558,0,1,0,10415.0,9540.0,19955.0,26415.0,36830.0,1144.0,6049.0
606,Western State Colorado University,Colorado,44800.0,47.0,19.0,2017,24065.0,17750.767544,0,1,0,9635.0,10114.0,19749.0,21586.0,31221.0,420.0,2584.0
607,Western Washington University,Washington,55000.0,45.0,16.0,2017,23555.0,16010.6206848,0,1,0,11466.0,8132.0,19598.0,23544.0,35010.0,3547.0,15060.0
608,Wheeling Jesuit University,West-Virginia,44800.0,57.0,5.0,2017,37908.0,18194.02415,0,0,0,9900.0,29290.0,39190.0,29290.0,39190.0,151.0,1575.0
609,Whitman College,Washington,54600.0,53.0,33.0,2017,64504.0,35727.42206,1,0,0,13174.0,51764.0,64938.0,51764.0,64938.0,301.0,1498.0
610,Whitworth University,Washington,49900.0,52.0,18.0,2017,56922.5,26781.041642000004,1,0,0,11496.0,43640.0,55136.0,43640.0,55136.0,510.0,2654.0
611,Wichita State University,Kansas,48700.0,57.0,24.0,2017,24397.0,15214.596851999999,0,1,0,11252.0,8271.0,19523.0,17452.0,28704.0,3625.0,14995.0
612,Widener University,Pennsylvania,55700.0,57.0,13.0,2017,58616.0,29598.611736,1,0,0,14446.0,45948.0,60394.0,45948.0,60394.0,1274.0,4912.0
613,Willamette University,Oregon,52200.0,49.0,14.0,2017,62262.0,26823.521742,1,0,0,12440.0,50074.0,62514.0,50074.0,62514.0,752.0,2780.0
614,William Carey University,Mississippi,41100.0,61.0,6.0,2017,27952.0,18345.461612,0,0,0,6810.0,12600.0,19410.0,12600.0,19410.0,1291.0,3936.0
615,William Jewell College,Missouri,51400.0,60.0,12.0,2017,49895.5,19746.829572,0,0,0,9930.0,34400.0,44330.0,34400.0,44330.0,171.0,1060.0
616,William Paterson University of New Jersey,New-Jersey,50500.0,44.0,7.0,2017,29341.5,17975.42856,0,1,0,11445.0,13060.0,24505.0,21260.0,32705.0,5213.0,11048.0
617,William Penn University,Iowa,43900.0,59.0,7.0,2017,37352.0,20974.993906,0,0,0,6952.0,25600.0,32552.0,25600.0,32552.0,494.0,1791.0
618,Williams College,Massachusetts,67500.0,47.0,32.0,2017,70650.0,15498.398511000001,0,0,0,14500.0,55450.0,69950.0,55450.0,69950.0,762.0,2126.0
619,Winona State University,Minnesota,49700.0,51.0,10.0,2017,21769.0,16203.047746,0,1,0,9010.0,9425.0,18435.0,15348.0,24358.0,758.0,8684.0
620,Winthrop University,South-Carolina,44300.0,49.0,9.0,2017,27587.0,18032.893514000003,0,1,0,9312.0,15590.0,24902.0,29846.0,39158.0,2115.0,6024.0
621,Wisconsin Lutheran College,Wisconsin,46200.0,45.0,10.0,2017,42152.0,19099.095576,0,0,0,10190.0,29725.0,39915.0,29725.0,39915.0,166.0,1179.0
622,Wittenberg University,Ohio,52400.0,61.0,22.0,2017,52056.0,23786.846242,0,0,0,10356.0,39500.0,49856.0,39500.0,49856.0,312.0,1964.0
623,Wofford College,South-Carolina,51300.0,51.0,28.0,2017,55485.0,23096.272365999997,0,0,0,12685.0,43845.0,56530.0,43845.0,56530.0,285.0,1658.0
624,Worcester Polytechnic Institute,Massachusetts,73600.0,47.0,86.0,2017,64805.0,36185.338904000004,1,0,0,14774.0,50530.0,65304.0,50530.0,65304.0,991.0,6381.0
625,Xavier University of Louisiana,Louisiana,46700.0,63.0,35.0,2017,36212.5,18638.905638,0,0,0,9047.0,24488.0,33535.0,24488.0,33535.0,2631.0,2976.0
626,Yale University,Connecticut,70300.0,53.0,22.0,2017,71290.0,13534.6572308,0,0,0,16000.0,53430.0,69430.0,53430.0,69430.0,3796.0,12336.0
627,Yeshiva University,New-York,63500.0,40.0,11.0,2017,61157.5,31864.877388,1,0,0,12250.0,43500.0,55750.0,43500.0,55750.0,682.0,6348.0
